complaint_type,count
Illegal Parking,71519
Noise - Residential,45661
HEAT/HOT WATER,42767
Street Condition,34187
Blocked Driveway,21954
Snow or Ice,18860
UNSANITARY CONDITION,14410
Noise - Street/Sidewalk,14241
Dirty Condition,10980
Abandoned Vehicle,10958
Water System,10189
Traffic Signal Condition,9906
PLUMBING,9756
Noise,8456
PAINT/PLASTER,8036
Noise - Commercial,7105
Street Light Condition,6324
DOOR/WINDOW,6109
Missed Collection,5915
Noise - Vehicle,5475
WATER LEAK,5358
General Construction/Plumbing,5088
Derelict Vehicles,5068
Illegal Dumping,4847
Damaged Tree,4779
Sewer,4609
GENERAL,4598
Encampment,4596
Building/Use,4207
ELECTRIC,4016
