unit_id,population,pct_nonwhite,log_median_income,pct_renter
BRONX 04,153883,0.866,10.6085,0.9242
BRONX 05,137347,0.8782,10.5267,0.9571
BRONX 07,135983,0.8559,10.6746,0.9368
BRONX 08,98520,0.5748,11.2624,0.614
BRONX 09,172669,0.884,10.8198,0.7788
BRONX 10,129181,0.6692,11.1156,0.5662
BRONX 11,117283,0.713,11.081,0.6941
BRONX 12,161037,0.8854,11.0362,0.6151
BROOKLYN 01,201535,0.344,11.4555,0.8417
BROOKLYN 02,126308,0.4727,11.8074,0.6811
BROOKLYN 03,182441,0.6902,11.1913,0.7632
BROOKLYN 04,115024,0.6962,11.2883,0.8406
BROOKLYN 05,205303,0.8596,10.8463,0.7375
BROOKLYN 06,120661,0.3408,11.9926,0.6314
BROOKLYN 07,124433,0.6178,11.3227,0.7052
BROOKLYN 08,110281,0.6698,11.3337,0.7883
BROOKLYN 09,99978,0.6945,11.1789,0.8149
BROOKLYN 10,127569,0.4236,11.331,0.5852
BROOKLYN 11,188487,0.5847,11.0755,0.6464
BROOKLYN 12,192058,0.3393,11.0501,0.6807
BROOKLYN 13,110299,0.4301,10.7161,0.7056
BROOKLYN 14,164539,0.6073,11.2255,0.7547
BROOKLYN 15,157254,0.3597,11.2075,0.5408
BROOKLYN 16,97603,0.913,10.5152,0.8357
BROOKLYN 17,155603,0.9542,11.1108,0.6873
BROOKLYN 18,200244,0.7683,11.3559,0.4072
MANHATTAN 03,155194,0.6005,10.8988,0.8422
MANHATTAN 04,116457,0.3688,11.5965,0.7849
MANHATTAN 07,220646,0.3263,11.8216,0.6439
MANHATTAN 08,211135,0.221,11.8844,0.6397
MANHATTAN 09,114613,0.6916,11.0553,0.8533
MANHATTAN 10,135884,0.8127,10.9766,0.8535
MANHATTAN 11,125413,0.7696,10.5415,0.9208
MANHATTAN 12,214260,0.7212,11.0368,0.8826
QUEENS 01,171270,0.4525,11.3633,0.7969
QUEENS 02,124372,0.604,11.4028,0.7431
QUEENS 03,161901,0.739,11.2045,0.6201
QUEENS 04,175166,0.8387,11.1135,0.7512
QUEENS 05,184935,0.3885,11.3653,0.5954
QUEENS 06,122344,0.5161,11.4809,0.5159
QUEENS 07,250032,0.7214,11.1511,0.521
QUEENS 08,159983,0.6704,11.3307,0.5245
QUEENS 09,150819,0.7433,11.3205,0.504
QUEENS 10,138303,0.7475,11.4517,0.307
QUEENS 11,123356,0.5931,11.5358,0.3076
QUEENS 12,257420,0.9569,11.2235,0.5074
QUEENS 13,206684,0.8835,11.5668,0.2657
QUEENS 14,134241,0.6019,11.16,0.6172
STATEN ISLAND 01,182838,0.5308,11.3594,0.4372
STATEN ISLAND 02,142060,0.3122,11.4362,0.2818
STATEN ISLAND 03,168027,0.1499,11.6272,0.2067
