unit_id,equity_gap_factor
QUEENS 82,1.4
BRONX 26,1.2
QUEENS 80,1.1
QUEENS 11,1.0666666666666667
STATEN ISLAND 03,1.0666666666666667
BROOKLYN 10,1.0666666666666667
Unspecified QUEENS,1.0333333333333334
MANHATTAN 06,1.0333333333333334
QUEENS 84,1.0333333333333334
QUEENS 02,1.0
QUEENS 05,1.0
QUEENS 04,1.0
QUEENS 03,1.0
QUEENS 01,1.0
QUEENS 07,1.0
MANHATTAN 08,1.0
MANHATTAN 05,1.0
BRONX 02,1.0
QUEENS 06,1.0
MANHATTAN 04,1.0
QUEENS 08,1.0
QUEENS 09,1.0
MANHATTAN 01,1.0
QUEENS 12,1.0
QUEENS 13,1.0
QUEENS 14,1.0
QUEENS 83,1.0
STATEN ISLAND 01,1.0
STATEN ISLAND 02,1.0
Unspecified BROOKLYN,1.0
Unspecified MANHATTAN,1.0
MANHATTAN 02,1.0
Unspecified STATEN ISLAND,1.0
BROOKLYN 05,1.0
BRONX 05,1.0
BRONX 11,1.0
BROOKLYN 03,1.0
BROOKLYN 04,1.0
BRONX 10,1.0
BRONX 07,1.0
BRONX 06,1.0
BROOKLYN 11,1.0
BROOKLYN 01,1.0
BROOKLYN 02,1.0
BROOKLYN 13,1.0
BROOKLYN 14,1.0
BROOKLYN 15,1.0
BROOKLYN 16,1.0
BROOKLYN 18,1.0
MANHATTAN 10,0.9666666666666667
MANHATTAN 11,0.9666666666666667
MANHATTAN 64,0.9666666666666667
MANHATTAN 07,0.9666666666666667
STATEN ISLAND 95,0.9666666666666667
MANHATTAN 03,0.9666666666666667
MANHATTAN 12,0.9666666666666667
Unspecified BRONX,0.9333333333333333
BRONX 09,0.9333333333333333
BRONX 04,0.9333333333333333
BROOKLYN 55,0.9333333333333333
QUEENS 10,0.9333333333333333
BROOKLYN 06,0.9333333333333333
BROOKLYN 08,0.9333333333333333
BROOKLYN 09,0.9333333333333333
BROOKLYN 12,0.9333333333333333
MANHATTAN 09,0.9333333333333333
BROOKLYN 17,0.9333333333333333
BRONX 01,0.9333333333333333
BRONX 28,0.8666666666666667
QUEENS 81,0.8666666666666667
BROOKLYN 07,0.8666666666666667
BRONX 03,0.8666666666666667
BRONX 08,0.8333333333333334
BRONX 12,0.7333333333333333
BRONX 27,0.7
BROOKLYN 56,0.5
