unit_id,local_I,p_value,cluster
BRONX 01,-0.02248195110148029,0.438,ns
BRONX 02,0.3363579535508721,0.179,ns
BRONX 03,-0.009338344615672184,0.241,ns
BRONX 04,-0.002274622834977151,0.491,ns
BRONX 05,0.048123257527322265,0.401,ns
BRONX 06,0.19269291712471198,0.256,ns
BRONX 07,-0.136969424459006,0.358,ns
BRONX 08,-0.21169861744093676,0.407,ns
BRONX 09,0.0,0.001,HL
BRONX 10,0.0,0.001,HL
BRONX 11,0.23098147789597265,0.349,ns
BRONX 12,-0.0,0.001,LL
BROOKLYN 01,-0.7146201336633999,0.083,ns
BROOKLYN 02,0.5053166252192708,0.329,ns
BROOKLYN 03,0.6675057221316297,0.052,ns
BROOKLYN 04,0.10318931696193413,0.35,ns
BROOKLYN 05,-1.034646230562598,0.14,ns
BROOKLYN 06,2.1229267958762623,0.04,LL
BROOKLYN 07,2.1229267958762623,0.055,ns
BROOKLYN 08,0.9013070738488943,0.102,ns
BROOKLYN 09,0.8637236404761771,0.038,LL
BROOKLYN 10,-0.0,0.001,LL
BROOKLYN 11,1.1200079472072526,0.159,ns
BROOKLYN 12,1.2532985837418924,0.282,ns
BROOKLYN 13,1.1200079472072526,0.159,ns
BROOKLYN 14,1.2532985837418924,0.051,ns
BROOKLYN 15,0.9013070738488942,0.073,ns
BROOKLYN 16,0.6553686567678891,0.086,ns
BROOKLYN 17,0.9013070738488942,0.118,ns
BROOKLYN 18,-0.041167931120279236,0.498,ns
MANHATTAN 01,-0.0,0.001,LL
MANHATTAN 02,0.19627630905807733,0.221,ns
MANHATTAN 03,0.2924558420699007,0.185,ns
MANHATTAN 04,0.12420963417174646,0.281,ns
MANHATTAN 05,0.14261592150957855,0.292,ns
MANHATTAN 06,0.0013668086089488021,0.495,ns
MANHATTAN 07,-0.0,0.001,LL
MANHATTAN 08,-0.15010868743520114,0.217,ns
MANHATTAN 09,0.44400944675343296,0.389,ns
MANHATTAN 10,0.1051042849550803,0.391,ns
MANHATTAN 11,-0.48766706171469926,0.085,ns
MANHATTAN 12,-0.037644854618354144,0.457,ns
QUEENS 01,0.17985354793349384,0.451,ns
QUEENS 02,-0.6440232430521486,0.229,ns
QUEENS 03,1.6270052119886629,0.029,HH
QUEENS 04,1.4804161946895638,0.016,HH
QUEENS 05,-0.9136746223369958,0.201,ns
QUEENS 06,1.2248526319861985,0.05,ns
QUEENS 07,1.7269634903303752,0.052,ns
QUEENS 08,0.0,0.001,HL
QUEENS 09,1.2248526319861985,0.228,ns
QUEENS 10,-1.034646230562598,0.165,ns
QUEENS 11,0.0,0.001,HL
QUEENS 12,0.0,0.001,HL
QUEENS 13,0.0,0.001,HL
QUEENS 14,-1.5044025330930455,0.073,ns
STATEN ISLAND 01,0.0,0.001,HL
STATEN ISLAND 02,0.0,0.001,HL
STATEN ISLAND 03,0.0,0.001,HL
